rsn,mag,Rrup,Rhyp,Vs30,Ztor,eqH,X1a,X1b,X1bi,eqid,ssn,eqUTMx,eqUTMy,staUTMx,staUTMy,eqLat,eqLon,staLat,staLon,c4,c_g1,phi1,Xrup,X2,X3,Res_tot0.01S
1,6.1,81.7467744,86.1355519,524.6131,7.007,11.37,1,1,1,1,1,354.083266433441,2637.72620947108,276.717773125607,2601.49402336014,23.8443,121.5672,23.5083333333333,120.813333333333,-2.1,-0.008798,-0.510415026,81.7467744,1.0942315439471,-0.767311873178607,0.290028939675651
2,6.1,117.9044071,122.3935264,201.4775,7.007,11.37,1,1,1,1,3,354.083266433441,2637.72620947108,237.790266691444,2600.80881506862,23.8443,121.5672,23.4963333333333,120.4325,-2.1,-0.008798,-0.510415026,117.9044071,1.19123689751231,-1.72429519908539,0.404531950702824
3,6.1,46.2549199,51.2869131,501.27,7.007,11.37,1,1,1,1,138,354.083266433441,2637.72620947108,372.11954936513,2684.18904705628,23.8443,121.5672,24.2654061473429,121.740179051145,-2.1,-0.008798,-0.510415026,46.2549199,0.896293403505487,-0.812828033632225,0.204105255714612
4,6.1,43.0136722,46.3387797,545.911971561221,7.007,11.37,1,1,1,1,139,354.083266433441,2637.72620947108,329.464034677508,2600.28720684154,23.8443,121.5672,23.5038333333333,121.329833333333,-2.1,-0.008798,-0.510415026,43.0136722,0.866312921918159,-0.727515173206355,0.888800249003006
5,6.1,84.029594,88.9651857,669.99,7.007,11.37,1,1,1,1,141,354.083266433441,2637.72620947108,355.640287704163,2725.59570160212,23.8443,121.5672,24.6378333333333,121.573666666667,-2.1,-0.008798,-0.510415026,84.029594,1.10220621753483,-0.522710124805893,0.840405343344556
6,6.1,16.168816,17.4680686,629.590766002099,7.007,11.37,1,1,1,1,142,354.083266433441,2637.72620947108,341.25755534808,2634.28428630364,23.8443,121.5672,23.812,121.441666666667,-2.1,-0.008798,-0.510415026,16.168816,0.415801637579976,-0.584902881162304,1.6434803967415
7,6.1,118.2248737,123.4503028,427.1375,7.007,11.37,1,1,1,1,145,354.083266433441,2637.72620947108,299.306408842426,2747.400348166,23.8443,121.5672,24.8283333333333,121.014166666667,-2.1,-0.008798,-0.510415026,118.2248737,1.19189458430245,-0.972866936261637,0.368854004725599
8,6.1,14.1080167,19.0431483,503.524672708963,7.007,11.37,1,1,1,1,146,354.083266433441,2637.72620947108,358.941080692617,2652.15230054574,23.8443,121.5672,23.975,121.6135,-2.1,-0.008798,-0.510415026,14.1080167,0.355738686854606,-0.808340198347229,-0.489017883511401
9,6.1,100.0131791,104.6435976,242.409953223941,7.007,11.37,1,1,1,1,212,354.083266433441,2637.72620947108,374.256679854709,2739.36946581363,23.8443,121.5672,24.7638333333333,121.756333333333,-2.1,-0.008798,-0.510415026,100.0131791,1.14986824409837,-1.53934259719934,-0.769846569421273
10,6.1,125.601449,130.9502413,370.7136,7.007,11.37,1,1,1,1,402,354.083266433441,2637.72620947108,317.722996526778,2762.5432563226,23.8443,121.5672,24.9673333333333,121.194333333333,-2.1,-0.008798,-0.510415026,125.601449,1.20638139514895,-1.1145431148744,0.199865910003756
11,6.1,99.6808499,104.698521,807.6457,7.007,11.37,1,1,1,1,404,354.083266433441,2637.72620947108,298.447216278515,2725.40223265642,23.8443,121.5672,24.6296666666667,121.008833333333,-2.1,-0.008798,-0.510415026,99.6808499,1.14899802866836,-0.335849439449197,-0.408813705500696
