rsn,eqid,ssn,eqLat,eqLon,staLat,staLon,eqX,eqY,staX,staY,UTMzone,nerg_mu,res_tot,res_between,res_within
1,1,1,23.8443,121.5672,23.51,120.8133,354.083266433441,2637.72620947108,276.717773125607,2601.49402336014,51N,-49.77508669992168,50.06511563959733,-0.290449999100041,50.35556563869737
2,1,3,23.8443,121.5672,23.5,120.4325,354.083266433441,2637.72620947108,237.790266691444,2600.80881506862,51N,-88.62307739150559,89.02760934220841,-0.290449999100041,89.31805934130846
3,1,138,23.8443,121.5672,24.27,121.7402,354.083266433441,2637.72620947108,372.11954936513,2684.18904705628,51N,-20.323697324287252,20.527802580001865,-0.290449999100041,20.818252579101905
4,1,139,23.8443,121.5672,23.5,121.3298,354.083266433441,2637.72620947108,329.464034677508,2600.28720684154,51N,-25.196855468645957,26.08565571764896,-0.290449999100041,26.376105716749002
5,1,141,23.8443,121.5672,24.64,121.5737,354.083266433441,2637.72620947108,355.640287704163,2725.59570160212,51N,-85.38982892756238,86.23023427090693,-0.290449999100041,86.52068427000698
6,1,142,23.8443,121.5672,23.81,121.4417,354.083266433441,2637.72620947108,341.25755534808,2634.28428630364,51N,-2.2644363534591543,3.907916750200654,-0.290449999100041,4.198366749300695
7,1,145,23.8443,121.5672,24.83,121.0142,354.083266433441,2637.72620947108,299.306408842426,2747.400348166,51N,-80.3806584750352,80.74951247976081,-0.290449999100041,81.03996247886086
8,1,146,23.8443,121.5672,23.97,121.6135,354.083266433441,2637.72620947108,358.941080692617,2652.15230054574,51N,-2.052094450523848,1.563076567012447,-0.290449999100041,1.853526566112488
9,1,212,23.8443,121.5672,24.76,121.7563,354.083266433441,2637.72620947108,374.256679854709,2739.36946581363,51N,-75.37031551814212,74.60046894872085,-0.290449999100041,74.8909189478209
10,1,402,23.8443,121.5672,24.97,121.1943,354.083266433441,2637.72620947108,317.722996526778,2762.5432563226,51N,-101.96399859449252,102.16386450449627,-0.290449999100041,102.45431450359632
11,1,404,23.8443,121.5672,24.63,121.0088,354.083266433441,2637.72620947108,298.447216278515,2725.40223265642,51N,-75.45935727235666,75.05054356685596,-0.290449999100041,75.34099356595601
12,1,405,23.8443,121.5672,24.41,120.7697,354.083266433441,2637.72620947108,273.845042170143,2701.93870848953,51N,-62.32301022580067,62.0685595970262,-0.290449999100041,62.35900959612624
13,1,407,23.8443,121.5672,23.88,120.9082,354.083266433441,2637.72620947108,287.010715856492,2642.66311568755,51N,-47.256728754740266,48.08632641605528,-0.290449999100041,48.37677641515532
14,1,410,23.8443,121.5672,23.16,120.7657,354.083266433441,2637.72620947108,271.253692975577,2563.06052897881,51N,-87.06800235658204,86.96684107873605,-0.290449999100041,87.2572910778361
15,1,690,23.8443,121.5672,22.75,121.1548,354.083266433441,2637.72620947108,310.537935765039,2517.26525302695,51N,-94.44264536034659,93.39428219537112,-0.290449999100041,93.68473219447117
16,1,746,23.8443,121.5672,23.68,120.5703,354.083266433441,2637.72620947108,252.226616306453,2621.4082028427,51N,-56.01550016707472,56.49849163026137,-0.290449999100041,56.78894162936141
17,1,747,23.8443,121.5672,23.88,120.6925,354.083266433441,2637.72620947108,265.035263181161,2642.46930224866,51N,-76.79392628083181,76.73254709499277,-0.290449999100041,77.02299709409282
18,1,748,23.8443,121.5672,23.86,120.2892,354.083266433441,2637.72620947108,223.914530881255,2641.55465555269,51N,-94.97072436470182,95.42356543269648,-0.290449999100041,95.71401543179653
19,1,749,23.8443,121.5672,23.24,120.6223,354.083266433441,2637.72620947108,256.724550655796,2572.5053018628,51N,-77.88384851001068,77.95636298207103,-0.290449999100041,78.24681298117108
20,2,2,22.6247,121.3853,23.1,121.3732,334.05357024857,2502.87484721907,333.384426417811,2555.27807729881,51N,-36.258028391963165,37.03087521027907,0.9597683445246998,36.07110686575437
21,2,523,22.6247,121.3853,22.36,120.9035,334.05357024857,2502.87484721907,284.107050855491,2473.71639276893,51N,-65.98085511066614,65.26927494064242,0.9597683445246998,64.30950659611771
22,2,690,22.6247,121.3853,22.75,121.1548,334.05357024857,2502.87484721907,310.537935765039,2517.26525302695,51N,-22.639798102913772,21.778203267628044,0.9597683445246998,20.818434923103343
23,3,4,23.1941,120.507,23.7,120.249,244.824392494564,2567.19421666612,219.484548151623,2624.23842011589,51N,-49.311827701909586,50.33893853161558,-0.4771999057868498,50.81613843740243
24,3,7,23.1941,120.507,23.6,120.1795,244.824392494564,2567.19421666612,212.163931064656,2612.74307115743,51N,-71.61995071047923,72.05011874506582,-0.4771999057868498,72.52731865085266
25,3,8,23.1941,120.507,23.61,120.4217,244.824392494564,2567.19421666612,236.909979811883,2613.42113484553,51N,-45.90634397242368,46.44732214022782,-0.4771999057868498,46.924522046014665
26,3,10,23.1941,120.507,23.47,120.1735,244.824392494564,2567.19421666612,211.271091563921,2598.54326179267,51N,-51.56961745876578,51.93534032335542,-0.4771999057868498,52.412540229142266
27,3,11,23.1941,120.507,23.48,120.2775,244.824392494564,2567.19421666612,221.926111931305,2599.69714608361,51N,-33.253237386905354,33.587065419383826,-0.4771999057868498,34.06426532517067
28,3,13,23.1941,120.507,23.46,120.553,244.824392494564,2567.19421666612,250.038902872506,2596.90135264319,51N,-30.535175719491406,31.600748893355455,-0.4771999057868498,32.077948799142305
29,3,14,23.1941,120.507,23.48,120.6543,244.824392494564,2567.19421666612,260.430315109587,2598.94421306058,51N,-33.03753771992416,33.24578698993461,-0.4771999057868498,33.722986895721455
30,3,15,23.1941,120.507,23.33,120.1598,244.824392494564,2567.19421666612,209.566639305405,2582.95919802158,51N,-41.67440732105316,42.163344092536114,-0.4771999057868498,42.64054399832296
31,3,16,23.1941,120.507,23.36,120.2738,244.824392494564,2567.19421666612,221.28405659463,2585.5782755478,51N,-28.224027483852108,28.73504788107029,-0.4771999057868498,29.21224778685714
32,3,17,23.1941,120.507,23.29,120.5927,244.824392494564,2567.19421666612,253.781131604724,2578.16777960202,51N,-17.133993560031207,18.281325614970807,-0.4771999057868498,18.758525520757658
33,3,18,23.1941,120.507,23.35,120.4138,244.824392494564,2567.19421666612,235.597231062294,2584.92715876568,51N,-19.974502873405214,21.234446441492405,-0.4771999057868498,21.711646347279256
34,3,19,23.1941,120.507,23.22,120.1622,244.824392494564,2567.19421666612,209.563758766246,2570.61903872176,51N,-38.58093169860787,39.17062858144815,-0.4771999057868498,39.647828487234996
35,3,20,23.1941,120.507,23.21,120.277,244.824392494564,2567.19421666612,221.311148933544,2569.7845482575,51N,-33.09323932220393,33.54789594669106,-0.4771999057868498,34.025095852477904
36,3,21,23.1941,120.507,23.22,120.4003,244.824392494564,2567.19421666612,233.957525536643,2570.53173821797,51N,-18.831396353265607,20.695453756447826,-0.4771999057868498,21.172653662234676
37,3,22,23.1941,120.507,23.18,120.4859,244.824392494564,2567.19421666612,242.631344368301,2565.41899884923,51N,-11.494662924132154,12.685562241199083,-0.4771999057868498,13.162762146985933
38,3,24,23.1941,120.507,23.08,120.2957,244.824392494564,2567.19421666612,222.9455890091,2554.82944213344,51N,-32.82953166205839,33.00788113891077,-0.4771999057868498,33.485081044697615
39,3,25,23.1941,120.507,23.04,120.4697,244.824392494564,2567.19421666612,240.713161997152,2550.65116116989,51N,-25.983130229018236,26.482309602729018,-0.4771999057868498,26.95950950851587
40,3,26,23.1941,120.507,22.96,120.289,244.824392494564,2567.19421666612,222.028020873757,2542.19396710042,51N,-41.47829685057364,41.13483597886581,-0.4771999057868498,41.612035884652656
41,3,27,23.1941,120.507,23.76,120.6157,244.824392494564,2567.19421666612,256.982901424657,2629.17668618989,51N,-51.31628657938046,52.08875829386041,-0.4771999057868498,52.565958199647255
42,3,28,23.1941,120.507,23.78,120.5228,244.824392494564,2567.19421666612,247.559657372149,2631.77573429644,51N,-45.94684309920773,46.71042086646869,-0.4771999057868498,47.187620772255535
43,3,29,23.1941,120.507,23.8,120.4195,244.824392494564,2567.19421666612,237.063136166893,2634.08675177821,51N,-56.99379140567295,57.41903555034469,-0.4771999057868498,57.896235456131535
44,3,30,23.1941,120.507,23.75,120.2543,244.824392494564,2567.19421666612,220.127732133577,2629.36149430564,51N,-51.843626990425165,52.733545794603344,-0.4771999057868498,53.21074570039019
45,3,32,23.1941,120.507,23.61,120.5373,244.824392494564,2567.19421666612,248.72232561435,2613.48990894129,51N,-39.66303598401548,39.50278332803728,-0.4771999057868498,39.97998323382413
46,3,33,23.1941,120.507,23.64,120.4838,244.824392494564,2567.19421666612,243.318647130486,2616.85306873381,51N,-38.4448838969679,39.10641184708808,-0.4771999057868498,39.58361175287493
47,3,35,23.1941,120.507,23.58,120.3018,244.824392494564,2567.19421666612,224.607321975058,2609.99076937854,51N,-34.20035570310627,34.71213741488711,-0.4771999057868498,35.18933732067396
48,3,36,23.1941,120.507,23.54,120.2253,244.824392494564,2567.19421666612,216.713907095483,2605.94831702826,51N,-54.311102474763246,54.37134743313655,-0.4771999057868498,54.848547338923396
49,3,38,23.1941,120.507,23.52,120.5917,244.824392494564,2567.19421666612,254.093693790749,2603.0010608122,51N,-36.65701762838573,37.44473864527358,-0.4771999057868498,37.92193855106043
50,3,45,23.1941,120.507,23.36,120.5918,244.824392494564,2567.19421666612,253.809920914971,2585.01859270184,51N,-21.45941241624718,21.567280010859662,-0.4771999057868498,22.044479916646512
51,3,46,23.1941,120.507,23.4,120.3363,244.824392494564,2567.19421666612,227.776646936012,2590.85063966935,51N,-17.9712149476961,18.577967097840332,-0.4771999057868498,19.055167003627183
52,3,48,23.1941,120.507,23.3,120.6668,244.824392494564,2567.19421666612,261.380160466933,2578.68970463368,51N,-18.767969419339035,18.865588107353986,-0.4771999057868498,19.342788013140837
53,3,49,23.1941,120.507,23.48,120.4713,244.824392494564,2567.19421666612,241.717016564104,2598.41202403386,51N,-29.275662672434315,30.587416245061267,-0.4771999057868498,31.064616150848117
54,3,52,23.1941,120.507,23.37,120.3667,244.824392494564,2567.19421666612,230.798640073427,2586.43607411205,51N,-19.451545751872203,20.39814901797651,-0.4771999057868498,20.87534892376336
