Inference for Stan model: anon_model_2bcafdf2c8909f974977673c3a5d5c71.
4 chains, each with iter=20; warmup=10; thin=1; 
post-warmup draws per chain=10, total post-warmup draws=40.

               mean se_mean     sd    2.5%     25%     50%     75%    97.5%  n_eff   Rhat
phi_0         28.95     nan   35.9    0.53   10.31   13.65   38.33    137.0    nan   1.44
tau_0          1.51     nan   1.19    0.64    0.97    1.15    1.26     5.34    nan   2.34
ell_1e       588.39     nan 1868.9    1.06    1.94    6.72  411.21   7871.5    nan   1.26
omega_1e       4.27     nan   3.53    0.02    0.55    3.25    7.29     9.45    nan   2.94
ell_1as        3.87     nan   8.46    0.21     0.3    1.62    2.39    36.67    nan   1.15
omega_1as      2.46     nan   2.26    0.02    0.59    1.85     5.0     6.89    nan   2.31
omega_1bs      2.73     nan   2.67    0.52    1.04    1.19    5.43     7.17    nan   6.24
mu_cap        -1.33     nan   2.07   -4.84   -3.01   -0.03 -7.6e-3  -2.3e-3    nan  11.91
ell_ca1p      33.69     nan 133.88    0.18    1.63    3.29    3.71   551.41    nan   1.01
omega_ca1p     0.47     nan   0.43    0.02    0.24    0.31     0.8     1.79    nan   1.74
omega_ca2p     1.37     nan   1.72  9.1e-4    0.18    0.26    3.23      4.2    nan   6.09
dc_0           0.16     nan   1.36   -1.48   -1.39    0.13    1.33     2.57    nan   1.61
dc_1bs[1]       0.4     nan   1.36   -1.72   -1.38    1.14     1.5     1.93    nan   4.32
dc_1bs[2]      -0.5    0.83   1.23   -1.94    -1.7   -0.71     0.6     1.31      2   6.54
dc_1bs[3]       0.2     nan   0.65   -0.98   -0.26    0.41    0.82      0.9    nan   6.26
dc_1bs[4]      0.34     nan   1.05   -1.69    0.36     0.4    0.92     1.96    nan   2.12
dc_1bs[5]      0.14     nan   1.07   -1.42   -1.04    0.19    0.87     1.53    nan   3.38
dc_1bs[6]     -0.41     nan   0.91   -1.86   -1.03   -0.29    0.76     0.77    nan   2.15
dc_1bs[7]     -0.19     nan   0.89   -1.49   -0.89   -0.31    0.27     1.23    nan   4.11
dc_1bs[8]      0.33     nan   0.78    -0.9   -0.12    0.23    1.29     1.47    nan   2.41
dc_1bs[9]      0.51     nan   1.07   -1.67    0.06    0.93    1.32      1.4    nan    4.2
dc_1bs[10]    -0.59     nan   0.82   -1.87   -1.04   -0.71     0.5     0.68    nan   2.69
dc_1bs[11]     -0.2    0.45   0.77   -1.46    -1.0    0.36    0.47     0.68      3   2.53
dc_1bs[12]     0.25     nan   1.12   -2.26    0.23    0.68    0.81     1.26    nan   2.36
dc_1bs[13]    -0.07    0.95    1.4   -2.04    -1.3   -0.19    1.29     1.98      2   7.44
dc_1bs[14]     0.24    0.91   1.37   -1.74   -1.23    0.25    1.58     1.87      2    5.2
dc_1bs[15]     0.56    0.44   0.67   -0.72    0.15    0.89    1.03     1.21      2   3.97
dc_1bs[16]     0.13     nan   0.83   -1.28   -0.13    0.03    0.87     1.34    nan   3.27
dc_1bs[17]     0.37     nan   1.11   -1.42   -0.79     0.9    1.29     1.49    nan   4.51
dc_1bs[18]     0.13     nan   1.02   -1.88   -0.25    0.54    0.99     1.27    nan   2.93
dc_1bs[19]     0.08     nan    1.0   -1.41   -0.61    0.21    0.56     1.85    nan   2.91
dc_1bs[20]    -0.24     nan   1.15   -1.64   -1.24    -0.3    0.84     1.49    nan   9.29
dc_1bs[21]    -0.86    0.45   0.86    -2.0   -1.63   -0.88   -0.29     1.08      4   1.87
dc_1bs[22]     0.35     nan   1.26   -2.05   -0.17    0.42    1.39     1.66    nan   3.05
dc_1bs[23]    -0.83     nan   0.61   -1.89   -0.83   -0.81   -0.63      0.7    nan   1.34
dc_1bs[24]    -0.15     nan   0.79    -1.2   -0.85   -0.04    0.04     1.56    nan    2.2
dc_1bs[25]    -0.09     nan   0.77   -1.32   -0.53    0.14     0.5     1.01    nan   2.34
dc_1bs[26]    -0.54     nan    0.8   -1.75   -1.43    -0.1    0.02     1.16    nan   1.48
dc_1bs[27]    -0.02     nan   1.37   -2.58   -0.79    0.29    1.27     1.85    nan   3.34
dc_1bs[28]    -0.34     nan   0.98   -1.77   -1.55    0.14    0.51     0.81    nan   4.54
dc_1bs[29]     0.06     nan   0.93   -1.16    -0.8    0.06    0.96     1.39    nan   6.82
dc_1bs[30]     0.32     nan   1.08   -1.54    -0.4    0.87    1.31     1.51    nan   2.78
dc_1bs[31]     0.19     nan   1.08   -1.07   -1.07    0.38    1.22     1.92    nan   5.03
dc_1bs[32]    -0.69    0.67   1.13    -2.3   -1.77   -0.79    0.64     0.91      3   2.39
dc_1bs[33]     0.05     nan   0.77   -1.09   -0.76     0.2    0.78     1.05    nan   5.56
dc_1bs[34]     0.56     nan   1.37   -1.56   -1.02     0.8    1.84      2.0    nan   5.24
dc_1bs[35]    -0.05     nan   1.28   -1.98   -1.05   -0.06    1.17     1.53    nan   3.14
dc_1bs[36]    -0.73     nan   1.22   -1.93    -1.6    -1.5    0.89     1.38    nan   2.94
dc_1bs[37]     0.22     nan   0.46   -0.73   -0.17    0.38    0.64      0.8    nan   2.01
